file,directory,date_logged,log_name,contractor,data_type,log_service,log_activity,log_type,log_job,log_run,log_pass,casing_size_manual,section_size,station_number,station_depth,mfc_correction,interpretation_number,date_stamp
MUD_LOG_REPORT_1-112929.PDF,/project/recall/prod/arc/norway_a/films/GRANE/NO_25_11_G_22_AT2,2016/02/04,AUTOMATIC,BAKER HUGHES,RAW,MUDLOG,DRILLING,FINAL,1,1-19,-,,All sections,,,,,2018/04/03:12:30:27
WL_RAW_BHPR-GR-MECH_MD_MWD_PLOT_1-66472.PDF,/project/recall/prod/arc/norway_a/films/GRANE/NO_25_11_G_22_BY1,2016/02/17,AUTOMATIC,BAKER HUGHES,RAW,MWD/LWD,DOWNLOG,FINAL,-,11,-,,,,,,,2016/05/11:14:10:26
WL_RAW_BHPR-GR-MECH_MD_MWD_PLOT_2-66474.PDF,/project/recall/prod/arc/norway_a/films/GRANE/NO_25_11_G_22_BY1,2016/02/21,AUTOMATIC,BAKER HUGHES,RAW,MWD/LWD,DOWNLOG,FINAL,-,13,-,,,,,,,2016/05/11:14:11:07
WL_RAW_GR-REMP_MD_MWD_PLOT_1-66471.PDF,/project/recall/prod/arc/norway_a/films/GRANE/NO_25_11_G_22_BY1,2016/02/17,AUTOMATIC,BAKER HUGHES,RAW,MWD/LWD,DOWNLOG,FINAL,-,11,-,,,,,,,2016/05/11:14:10:05
WL_RAW_GR-REMP_MD_MWD_PLOT_2-66473.PDF,/project/recall/prod/arc/norway_a/films/GRANE/NO_25_11_G_22_BY1,2016/02/21,AUTOMATIC,BAKER HUGHES,RAW,MWD/LWD,DOWNLOG,FINAL,-,13,-,,,,,,,2016/05/11:14:10:46
WL_RAW_BHPR-MECH_TIME_MWD_PLOT_1-66482.PDF,/project/recall/prod/arc/norway_a/films/GRANE/NO_25_11_G_22_BY1,2016/02/17,AUTOMATIC,BAKER HUGHES,RAW,MWD/LWD,DOWNLOG,FINAL,-,11,-,,,,,,,2016/05/11:14:13:24
WL_RAW_BHPR-MECH_TIME_MWD_PLOT_2-66490.PDF,/project/recall/prod/arc/norway_a/films/GRANE/NO_25_11_G_22_BY1,2016/02/20,AUTOMATIC,BAKER HUGHES,RAW,MWD/LWD,DOWNLOG,FINAL,-,12,-,,,,,,,2016/05/11:14:16:29
WL_RAW_BHPR-MECH_TIME_MWD_PLOT_3-66483.PDF,/project/recall/prod/arc/norway_a/films/GRANE/NO_25_11_G_22_BY1,2016/02/21,AUTOMATIC,BAKER HUGHES,RAW,MWD/LWD,DOWNLOG,FINAL,-,13,-,,,,,,,2016/05/11:14:13:46
WL_RAW_BHPR-MECH_TIME_MWD_PLOT_4-66484.PDF,/project/recall/prod/arc/norway_a/films/GRANE/NO_25_11_G_22_BY1,2016/02/23,AUTOMATIC,BAKER HUGHES,RAW,MWD/LWD,DOWNLOG,FINAL,-,14,-,,,,,,,2016/05/11:14:14:23
WL_RAW_BHPR-MECH_TIME_MWD_PLOT_5-66491.PDF,/project/recall/prod/arc/norway_a/films/GRANE/NO_25_11_G_22_BY1,2016/02/25,AUTOMATIC,BAKER HUGHES,RAW,MWD/LWD,DOWNLOG,FINAL,-,15,-,,,,,,,2016/05/11:14:16:50
MUD_LOG_MD_PLOT_1-112940.PDF,/project/recall/prod/arc/norway_a/films/GRANE/NO_25_11_G_22_BY1,2016/02/17,AUTOMATIC,BAKER HUGHES,RAW,MUDLOG,DRILLING,FINAL,1,1-19,-,,All sections,,,,,2018/04/03:12:40:25
